Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet_div_2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf_div_2tf,b_div_t,b_div_tdes,h_div_tw,h_div_tdes,D_div_t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan_,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
2L,2L3-1/2X2-1/2X3/8X3/4LLBB,2L3-1/2X2-1/2X3/8X3/4LLBB,F,14.4,4.24,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.375,NaN,NaN,NaN,NaN,NaN,NaN,1.15,NaN,NaN,0.673,NaN,9.33,NaN,NaN,NaN,NaN,5.12,3.92,2.18,1.1,6.63,4.37,2.31,1.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.93,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X5/16LLBB,2L3-1/2X2-1/2X5/16LLBB,F,12.2,3.58,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.313,NaN,NaN,NaN,NaN,NaN,NaN,1.13,NaN,NaN,0.636,NaN,11.2,NaN,NaN,NaN,NaN,4.4,3.34,1.85,1.11,3.3,2.26,1.32,0.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.76,0.695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X5/16X3/8LLBB,2L3-1/2X2-1/2X5/16X3/8LLBB,F,12.2,3.58,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.313,NaN,NaN,NaN,NaN,NaN,NaN,1.13,NaN,NaN,0.636,NaN,11.2,NaN,NaN,NaN,NaN,4.4,3.34,1.85,1.11,4.25,2.93,1.58,1.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.83,0.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X5/16X3/4LLBB,2L3-1/2X2-1/2X5/16X3/4LLBB,F,12.2,3.58,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.313,NaN,NaN,NaN,NaN,NaN,NaN,1.13,NaN,NaN,0.636,NaN,11.2,NaN,NaN,NaN,NaN,4.4,3.34,1.85,1.11,5.5,3.61,1.91,1.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92,0.746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X1/4LLBB,2L3-1/2X2-1/2X1/4LLBB,F,9.8,2.9,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN,1.1,NaN,NaN,0.6,NaN,14,NaN,NaN,NaN,NaN,3.62,2.72,1.51,1.12,2.62,1.76,1.05,0.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.76,0.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X1/4X3/8LLBB,2L3-1/2X2-1/2X1/4X3/8LLBB,F,9.8,2.9,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN,1.1,NaN,NaN,0.6,NaN,14,NaN,NaN,NaN,NaN,3.62,2.72,1.51,1.12,3.38,2.3,1.26,1.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.83,0.717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3-1/2X2-1/2X1/4X3/4LLBB,2L3-1/2X2-1/2X1/4X3/4LLBB,F,9.8,2.9,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN,1.1,NaN,NaN,0.6,NaN,14,NaN,NaN,NaN,NaN,3.62,2.72,1.51,1.12,4.32,2.85,1.5,1.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92,0.742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3X2-1/2X1/2LLBB,2L3X2-1/2X1/2LLBB,F,17,5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,0.995,NaN,NaN,0.5,NaN,6,NaN,NaN,NaN,NaN,4.14,3.72,2.06,0.91,5.41,3.73,2.16,1.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.57,0.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3X2-1/2X1/2X3/8LLBB,2L3X2-1/2X1/2X3/8LLBB,F,17,5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,0.995,NaN,NaN,0.5,NaN,6,NaN,NaN,NaN,NaN,4.14,3.72,2.06,0.91,6.96,4.67,2.59,1.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.66,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2L,2L3X2-1/2X1/2X3/4LLBB,2L3X2-1/2X1/2X3/4LLBB,F,17,5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,0.995,NaN,NaN,0.5,NaN,6,NaN,NaN,NaN,NaN,4.14,3.72,2.06,0.91,8.84,5.6,3.07,1.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.78,0.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
